3828332	2865CFRED	CAL Fluor Red 610	BHQ-2	
4025808	XHP002P5‘-Azido	5-Azido-dT		
4033445	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033446	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033447	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033448	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033449	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033450	Candida Tropicalis_P	T(JOE)	BHQ-1	
4033451	Candida Tropicalis_P	T(JOE)	BHQ-1	MIA-Reassign for re-aliquot 03/05/14 kt
4038723	Ester Test Oligo	T(C6-Amino)		
4041842	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041843	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041844	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041845	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041846	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041847	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041848	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041849	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041850	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041851	Candida Tropicalis_P	T(JOE)	BHQ-1	
4041903	R11113	ROX-C6		MS ok: TSlow yield 3/4/2014 sz
4041904	R21113	ROX-C6		
4041905	R31113	ROX-C6		MS ok: TSlow yield 3/4/2014 sz
4042759	761	FAM	BHQ-1	
4042029	m8135RD1_FAM	FAM	BHQ-1	
4042030	m8135RD1_FAM	FAM	BHQ-1	
4042031	m8135RD1_FAM	FAM	BHQ-1	
4042032	m8135RD1_FAM	FAM	BHQ-1	
4032759	M3D2	Thiol C6 SS	Methylene Blue	poor purity (47%): TS
4032760	ED2	Thiol C6 SS	Methylene Blue	MS not ok: TSlow yield at ODs LR 3/14/14
4035823	DOX-28-trithiol		Methylene Blue	background products
4043870	9292Q670	Quasar 670	BHQ-2	-39
4030476	XTAGA002624-b	Phos	3-O-Propargyl-A	
4043882	m8135RD1_FAM	FAM	BHQ-1	
4043883	m8135RD1_CFO	CAL Fluor Orange 560	BHQ-1	
4043098	Ricin_beacon2	Thiol C6 SS		synthesis failure
4045107	Linear16b-MB(3)_2		Methylene Blue	
4045108	SSM_019_3a-MB		Methylene Blue	
4045109	SSM_020_3b-MB		Methylene Blue	
4045110	SSM_021_3c-MB		Methylene Blue	
4045111	SSM_022_3d-MB		Methylene Blue	
4045286	C. trop  Probe	T(JOE)	BHQ-1	
4035822	DOX-28	Thiol C6 SS	Methylene Blue	MS ok:JJlow yield 3/12/2014 la
4043111	C11 coc 2.0	Thiol C11 SS	Methylene Blue	
4043576	PRRS_4F	Biotin		MS okLow Yield at Ods 02/28/14 mrr
4047647	Candida Glabrata_F			Reassign for lh purposes 02/28/14 kt
