3941507	Mouse Polr2a 1		Quasar 570	less than 70% pool purity
3941508	Mouse Polr2a 2		Quasar 570	less than 70% pool purity
3941509	Mouse Polr2a 3		Quasar 570	synthesis failure: TS
3941510	Mouse Polr2a 4		Quasar 570	less than 70% pool purity
3941511	Mouse Polr2a 5		Quasar 570	less than 70% pool purity
3941512	Mouse Polr2a 6		Quasar 570	less than 70% pool purity
3941513	Mouse Polr2a 7		Quasar 570	less than 70% pool purity
3941514	Mouse Polr2a 8		Quasar 570	less than 70% pool purity
3941515	Mouse Polr2a 9		Quasar 570	less than 70% pool purity
3941516	Mouse Polr2a 10		Quasar 570	purity below 50%: TS
3941517	Mouse Polr2a 11		Quasar 570	less than 70% pool purity
3941518	Mouse Polr2a 12		Quasar 570	less than 70% pool purity
3941519	Mouse Polr2a 13		Quasar 570	less than 70% pool purity
3941520	Mouse Polr2a 14		Quasar 570	less than 70% pool purity
3941521	Mouse Polr2a 15		Quasar 570	less than 70% pool purity
3941522	Mouse Polr2a 16		Quasar 570	less than 70% pool purity
3941523	Mouse Polr2a 17		Quasar 570	less than 70% pool purity
3941524	Mouse Polr2a 18		Quasar 570	less than 70% pool purity
3941525	Mouse Polr2a 19		Quasar 570	less than 70% pool purity
3941526	Mouse Polr2a 20		Quasar 570	purity below 50%: TS
3941527	Mouse Polr2a 21		Quasar 570	less than 70% pool purity
3941528	Mouse Polr2a 22		Quasar 570	synthesis failure: TS
3941529	Mouse Polr2a 23		Quasar 570	purity below 50%: TS
3941530	Mouse Polr2a 24		Quasar 570	less than 70% pool purity
3941531	Mouse Polr2a 25		Quasar 570	less than 70% pool purity
3941532	Mouse Polr2a 26		Quasar 570	less than 70% pool purity
3941533	Mouse Polr2a 27		Quasar 570	less than 70% pool purity
3941534	Mouse Polr2a 28		Quasar 570	purity below 50%: TS
3941535	Mouse Polr2a 29		Quasar 570	purity below 50%: TS
3941536	Mouse Polr2a 30		Quasar 570	less than 70% pool purity
3941537	Mouse Polr2a 31		Quasar 570	less than 70% pool purity
3941538	Mouse Polr2a 32		Quasar 570	less than 70% pool purity
3941539	Mouse Tbp 1		Quasar 570	purity below 50%: TS
3941540	Mouse Tbp 2		Quasar 570	
3941541	Mouse Tbp 3		Quasar 570	
3941542	Mouse Tbp 4		Quasar 570	
3941543	Mouse Tbp 5		Quasar 570	
3941544	Mouse Tbp 6		Quasar 570	
3941545	Mouse Tbp 7		Quasar 570	
3941546	Mouse Tbp 8		Quasar 570	
3941547	Mouse Tbp 9		Quasar 570	purity below 50%: TS
3941548	Mouse Tbp 10		Quasar 570	
3941549	Mouse Tbp 11		Quasar 570	
3941550	Mouse Tbp 12		Quasar 570	
3941551	Mouse Tbp 13		Quasar 570	
3941552	Mouse Tbp 14		Quasar 570	
3941553	Mouse Tbp 15		Quasar 570	
3941554	Mouse Tbp 16		Quasar 570	
3941555	Mouse Tbp 17		Quasar 570	
3941556	Mouse Tbp 18		Quasar 570	synthesis failure: TS
3941557	Mouse Tbp 19		Quasar 570	synthesis failure: TS
3941558	Mouse Tbp 20		Quasar 570	
3941559	Mouse Tbp 21		Quasar 570	synthesis failure: TS
3941560	Mouse Tbp 22		Quasar 570	
3941561	Mouse Tbp 23		Quasar 570	
3941562	Mouse Tbp 24		Quasar 570	purity below 50%: TS
3941563	Mouse Tbp 25		Quasar 570	
3941564	Mouse Tbp 26		Quasar 570	
3941565	Mouse Tbp 27		Quasar 570	
3941566	Mouse Tbp 28		Quasar 570	
3941567	Mouse Tbp 29		Quasar 570	
3941568	Mouse Tbp 30		Quasar 570	
3941569	Mouse Tbp 31		Quasar 570	
3941570	Mouse Tbp 32		Quasar 570	
3941571	Mouse Tbp 33		Quasar 570	
3941572	Mouse Tbp 34		Quasar 570	
3941573	Mouse Tbp 35		Quasar 570	purity below 50%: TS
3941574	Mouse Tbp 36		Quasar 570	
3941575	Mouse Tbp 37		Quasar 570	
3941576	Mouse Tbp 38		Quasar 570	
3941577	Mouse Tbp 39		Quasar 570	
3941578	Mouse Tbp 40		Quasar 570	
3941676	Mouse Tfrc 1		Quasar 570	
3941677	Mouse Tfrc 2		Quasar 570	
3941678	Mouse Tfrc 3		Quasar 570	
3941679	Mouse Tfrc 4		Quasar 570	
3941680	Mouse Tfrc 5		Quasar 570	
3941681	Mouse Tfrc 6		Quasar 570	
3941682	Mouse Tfrc 7		Quasar 570	
3941683	Mouse Tfrc 8		Quasar 570	
3941684	Mouse Tfrc 9		Quasar 570	synthesis failure: TS
3941685	Mouse Tfrc 10		Quasar 570	
3941686	Mouse Tfrc 11		Quasar 570	
3941687	Mouse Tfrc 12		Quasar 570	
3941688	Mouse Tfrc 13		Quasar 570	
3941689	Mouse Tfrc 14		Quasar 570	purity below 50%: TS
3941690	Mouse Tfrc 15		Quasar 570	purity below 50%: TS
3941691	Mouse Tfrc 16		Quasar 570	
3941692	Mouse Tfrc 17		Quasar 570	
3941693	Mouse Tfrc 18		Quasar 570	
3941694	Mouse Tfrc 19		Quasar 570	
3941695	Mouse Tfrc 20		Quasar 570	
3941696	Mouse Tfrc 21		Quasar 570	
3941697	Mouse Tfrc 22		Quasar 570	
3941698	Mouse Tfrc 23		Quasar 570	
3941699	Mouse Tfrc 24		Quasar 570	
3941700	Mouse Tfrc 25		Quasar 570	
3941701	Mouse Tfrc 26		Quasar 570	
3941702	Mouse Tfrc 27		Quasar 570	
3941703	Mouse Tfrc 28		Quasar 570	
3941704	Mouse Tfrc 29		Quasar 570	
3941705	Mouse Tfrc 30		Quasar 570	
3941706	Mouse Tfrc 31		Quasar 570	
3941707	Mouse Tfrc 32		Quasar 570	
3941708	Mouse Tfrc 33		Quasar 570	
3941709	Mouse Tfrc 34		Quasar 570	
3941710	Mouse Tfrc 35		Quasar 570	
3941711	Mouse Tfrc 36		Quasar 570	
3941712	Mouse Tfrc 37		Quasar 570	
3941713	Mouse Tfrc 38		Quasar 570	
3941714	Mouse Tfrc 39		Quasar 570	
3941715	Mouse Tfrc 40		Quasar 570	
3941716	Mouse Tfrc 41		Quasar 570	
3941717	Mouse Tfrc 42		Quasar 570	
3941718	Mouse Tfrc 43		Quasar 570	
3941719	Mouse Tfrc 44		Quasar 570	purity below 50%: TS
3941720	Mouse Tfrc 45		Quasar 570	
3941721	Mouse Tfrc 46		Quasar 570	
3941722	Mouse Tfrc 47		Quasar 570	purity below 50%: TS
3941794	Mouse Malat1 1		Quasar 570	
3941795	Mouse Malat1 2		Quasar 570	
3941796	Mouse Malat1 3		Quasar 570	
3941797	Mouse Malat1 4		Quasar 570	
3941798	Mouse Malat1 5		Quasar 570	
3941799	Mouse Malat1 6		Quasar 570	
3941800	Mouse Malat1 7		Quasar 570	
3941801	Mouse Malat1 8		Quasar 570	
3941802	Mouse Malat1 9		Quasar 570	
3941803	Mouse Malat1 10		Quasar 570	
3941804	Mouse Malat1 11		Quasar 570	
3941805	Mouse Malat1 12		Quasar 570	
3941806	Mouse Malat1 13		Quasar 570	
3941807	Mouse Malat1 14		Quasar 570	
3941808	Mouse Malat1 15		Quasar 570	
3941809	Mouse Malat1 16		Quasar 570	
3941810	Mouse Malat1 17		Quasar 570	
3941811	Mouse Malat1 18		Quasar 570	
3941812	Mouse Malat1 19		Quasar 570	
3941813	Mouse Malat1 20		Quasar 570	
3941814	Mouse Malat1 21		Quasar 570	
3941815	Mouse Malat1 22		Quasar 570	
3941816	Mouse Malat1 23		Quasar 570	
3941817	Mouse Malat1 24		Quasar 570	synthesis failure: TS
3941818	Mouse Malat1 25		Quasar 570	
3941819	Mouse Malat1 26		Quasar 570	
3941820	Mouse Malat1 27		Quasar 570	
3941821	Mouse Malat1 28		Quasar 570	purity below 50%: TS
3941822	Mouse Malat1 29		Quasar 570	
3941823	Mouse Malat1 30		Quasar 570	
3941824	Mouse Malat1 31		Quasar 570	
3941825	Mouse Malat1 32		Quasar 570	
3941826	Mouse Malat1 33		Quasar 570	
3941827	Mouse Malat1 34		Quasar 570	
3941828	Mouse Malat1 35		Quasar 570	
3941829	Mouse Malat1 36		Quasar 570	
3941830	Mouse Malat1 37		Quasar 570	
3941831	Mouse Malat1 38		Quasar 570	
3941832	Mouse Malat1 39		Quasar 570	
3941833	Mouse Malat1 40		Quasar 570	
3941834	Mouse Malat1 41		Quasar 570	
3941835	Mouse Malat1 42		Quasar 570	
3941836	Mouse Malat1 43		Quasar 570	
3941837	Mouse Malat1 44		Quasar 570	
3941838	Mouse Malat1 45		Quasar 570	
3941839	Mouse Malat1 46		Quasar 570	
3941840	Mouse Malat1 47		Quasar 570	
3941841	Mouse Malat1 48		Quasar 570	
3941842	Mouse Neat1 1		Quasar 570	
3941843	Mouse Neat1 2		Quasar 570	
3941844	Mouse Neat1 3		Quasar 570	
3941845	Mouse Neat1 4		Quasar 570	
3941846	Mouse Neat1 5		Quasar 570	
3941847	Mouse Neat1 6		Quasar 570	
3941848	Mouse Neat1 7		Quasar 570	purity below 50%: TS
3941849	Mouse Neat1 8		Quasar 570	
3941850	Mouse Neat1 9		Quasar 570	
3941851	Mouse Neat1 10		Quasar 570	
3941852	Mouse Neat1 11		Quasar 570	
3941853	Mouse Neat1 12		Quasar 570	
3941854	Mouse Neat1 13		Quasar 570	
3941855	Mouse Neat1 14		Quasar 570	
3941856	Mouse Neat1 15		Quasar 570	
3941857	Mouse Neat1 16		Quasar 570	
3941858	Mouse Neat1 17		Quasar 570	
3941859	Mouse Neat1 18		Quasar 570	
3941860	Mouse Neat1 19		Quasar 570	
3941861	Mouse Neat1 20		Quasar 570	
3941862	Mouse Neat1 21		Quasar 570	
